"Codigo","TituloConta","DataLancamento","CodigoEvento","Valor"
"0101010100","Caixa","2023-08-04","10.0.0003","16292.0000"
"0101010100","Caixa","2023-09-21","10.0.0003","122273.6700"
"0101010100","Caixa","2023-12-19","10.0.0003","100.0000"
"0101010100","Caixa","2024-05-13","10.0.0003","132937.6800"
"0101010100","Caixa","2024-09-12","10.0.0003","55574.1300"
"0101010100","Caixa","2024-08-26","10.0.0003","12401.0300"
"0101010100","Caixa","2024-12-26","10.0.0003","3476.0000"
"0101010100","Caixa","2025-02-10","10.0.0003","23099.7900"
"0101010100","Caixa","2025-05-07","10.0.0003","74000.0000"
"0101010201","Banco Um","2020-12-28","10.0.0004","150.0000"
"0101010201","Banco Um","2020-12-29","10.0.0004","500.0000"
"0101010201","Banco Um","2020-08-31","10.0.0004","190.0000"
"0101010201","Banco Um","2020-11-03","10.0.0004","200.0000"
"0101010201","Banco Um","2021-07-20","10.0.0004","460.0000"
"0101010201","Banco Um","2023-12-07","10.0.0004","200.0000"
"0101010201","Banco Um","2020-12-08","10.0.0005","27434.3000"
"0101010201","Banco Um","2021-01-04","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-02-05","10.0.0005","2000.0000"
"0101010201","Banco Um","2020-07-22","10.0.0005","5000.0000"
"0101010201","Banco Um","2019-08-23","10.0.0005","24000.0000"
"0101010201","Banco Um","2019-09-06","10.0.0005","636036.8200"
"0101010201","Banco Um","2019-10-15","10.0.0005","13000.0000"
"0101010201","Banco Um","2019-11-11","10.0.0005","13000.0000"
"0101010201","Banco Um","2019-12-10","10.0.0005","13000.0000"
"0101010201","Banco Um","2019-12-16","10.0.0005","8659.7100"
"0101010201","Banco Um","2019-01-01","10.0.0005","392914.8700"
"0101010201","Banco Um","2021-04-06","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-04-22","10.0.0005","30000.0000"
"0101010201","Banco Um","2021-05-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-03-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-06-07","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-07-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-08-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-09-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-09-28","10.0.0005","215000.0000"
"0101010201","Banco Um","2021-10-27","10.0.0005","112000.0000"
"0101010201","Banco Um","2021-10-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-11-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-11-19","10.0.0005","245000.0000"
"0101010201","Banco Um","2021-12-21","10.0.0005","114000.0000"
"0101010201","Banco Um","2021-12-30","10.0.0005","15000.0000"
"0101010201","Banco Um","2022-01-05","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-01-31","10.0.0005","32000.0000"
"0101010201","Banco Um","2022-02-14","10.0.0005","32000.0000"
"0101010201","Banco Um","2022-03-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-03-23","10.0.0005","60000.0000"
"0101010201","Banco Um","2022-04-04","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-04-04","10.0.0005","196000.0000"
"0101010201","Banco Um","2022-04-20","10.0.0005","122000.0000"
"0101010201","Banco Um","2022-05-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-05-31","10.0.0005","106000.0000"
"0101010201","Banco Um","2022-06-02","10.0.0005","987000.0000"
"0101010201","Banco Um","2022-06-07","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-07-11","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-08-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-08-17","10.0.0005","145000.0000"
"0101010201","Banco Um","2022-09-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-09-26","10.0.0005","40014.3500"
"0101010201","Banco Um","2022-10-11","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-10-17","10.0.0005","25000.0000"
"0101010201","Banco Um","2022-11-07","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-12-05","10.0.0005","4000.0000"
"0101010201","Banco Um","2022-12-08","10.0.0005","36000.0000"
"0101010201","Banco Um","2023-01-02","10.0.0005","40000.0000"
"0101010201","Banco Um","2023-01-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2022-02-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-08-24","10.0.0005","250000.0000"
"0101010201","Banco Um","2023-02-06","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-03-06","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-02-09","10.0.0005","52000.0000"
"0101010201","Banco Um","2023-03-10","10.0.0005","49998.3200"
"0101010201","Banco Um","2023-05-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-04-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-06-12","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-05-09","10.0.0005","107000.0000"
"0101010201","Banco Um","2023-05-10","10.0.0005","300000.0000"
"0101010201","Banco Um","2023-05-22","10.0.0005","295898.6400"
"0101010201","Banco Um","2023-05-29","10.0.0005","25000.0000"
"0101010201","Banco Um","2023-07-10","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-08-07","10.0.0005","300004.8000"
"0101010201","Banco Um","2023-08-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-08-16","10.0.0005","100000.0000"
"0101010201","Banco Um","2023-08-17","10.0.0005","185000.0000"
"0101010201","Banco Um","2023-08-18","10.0.0005","125000.0000"
"0101010201","Banco Um","2023-09-05","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-10-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-08-31","10.0.0005","250000.0000"
"0101010201","Banco Um","2023-09-12","10.0.0005","39000.0000"
"0101010201","Banco Um","2023-10-20","10.0.0005","14000.0000"
"0101010201","Banco Um","2023-11-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-12-05","10.0.0005","4000.0000"
"0101010201","Banco Um","2023-12-18","10.0.0005","40000.0000"
"0101010201","Banco Um","2024-01-04","10.0.0005","2000.0000"
"0101010201","Banco Um","2024-01-04","10.0.0005","30000.0000"
"0101010201","Banco Um","2024-01-10","10.0.0005","50000.0000"
"0101010201","Banco Um","2024-02-06","10.0.0005","2000.0000"
"0101010201","Banco Um","2024-01-26","10.0.0005","457837.3000"
"0101010201","Banco Um","2024-03-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2023-10-11","10.0.0005","102000.0000"
"0101010201","Banco Um","2023-09-21","10.0.0005","140000.0000"
"0101010201","Banco Um","2023-10-02","10.0.0005","260.0000"
"0101010201","Banco Um","2024-02-26","10.0.0005","255000.0000"
"0101010201","Banco Um","2024-03-07","10.0.0005","21000.0000"
"0101010201","Banco Um","2024-03-11","10.0.0005","30000.0000"
"0101010201","Banco Um","2024-04-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2024-03-28","10.0.0005","28000.0000"
"0101010201","Banco Um","2024-05-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2024-04-15","10.0.0005","80000.0000"
"0101010201","Banco Um","2024-04-26","10.0.0005","20000.0000"
"0101010201","Banco Um","2024-05-13","10.0.0005","165000.0000"
"0101010201","Banco Um","2024-05-24","10.0.0005","18790.6200"
"0101010201","Banco Um","2024-06-04","10.0.0005","2000.0000"
"0101010201","Banco Um","2024-06-20","10.0.0005","40000.0000"
"0101010201","Banco Um","2024-07-01","10.0.0005","85000.0000"
"0101010201","Banco Um","2024-07-05","10.0.0005","35000.0000"
"0101010201","Banco Um","2024-07-15","10.0.0005","2000.0000"
"0101010201","Banco Um","2024-08-15","10.0.0005","98000.0000"
"0101010201","Banco Um","2024-08-16","10.0.0005","35000.0000"
"0101010201","Banco Um","2024-10-08","10.0.0005","30000.0000"
"0101010201","Banco Um","2024-09-05","10.0.0005","30000.0000"
"0101010201","Banco Um","2024-09-12","10.0.0005","70000.0000"
"0101010201","Banco Um","2024-10-10","10.0.0005","50000.0000"
"0101010201","Banco Um","2024-12-16","10.0.0005","40000.0000"
"0101010201","Banco Um","2024-12-27","10.0.0005","17000.0000"
"0101010201","Banco Um","2025-01-10","10.0.0005","65000.0000"
"0101010201","Banco Um","2025-01-27","10.0.0005","20000.0000"
"0101010201","Banco Um","2025-04-22","10.0.0005","4750.3000"
"0101010201","Banco Um","2025-03-17","10.0.0005","0.0000"
"0101010201","Banco Um","2025-03-20","10.0.0005","30000.0000"
"0101010201","Banco Um","2025-03-21","10.0.0005","410000.0000"
"0101010201","Banco Um","2025-03-21","10.0.0005","40000.0000"
"0101010201","Banco Um","2025-03-24","10.0.0005","40000.0000"
"0101010201","Banco Um","2025-03-25","10.0.0005","85000.0000"
"0101010201","Banco Um","2025-04-01","10.0.0005","90000.0000"
"0101010201","Banco Um","2025-04-10","10.0.0005","30000.0000"
"0101010301","Aplicação Banco Um","2020-11-27","10.0.0007","134.9300"
"0101010301","Aplicação Banco Um","2020-12-15","10.0.0007","5.5800"
"0101010301","Aplicação Banco Um","2020-12-30","10.0.0007","81.0400"
"0101010301","Aplicação Banco Um","2021-01-04","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2021-01-13","10.0.0007","9783.6300"
"0101010301","Aplicação Banco Um","2020-08-07","10.0.0007","3481.6000"
"0101010301","Aplicação Banco Um","2020-08-26","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2020-08-31","10.0.0007","306.2300"
"0101010301","Aplicação Banco Um","2020-09-30","10.0.0007","6610.1600"
"0101010301","Aplicação Banco Um","2020-10-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2020-10-22","10.0.0007","1860.0400"
"0101010301","Aplicação Banco Um","2020-07-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2020-02-07","10.0.0007","6446.4500"
"0101010301","Aplicação Banco Um","2020-03-05","10.0.0007","303.8400"
"0101010301","Aplicação Banco Um","2020-03-06","10.0.0007","1036.2900"
"0101010301","Aplicação Banco Um","2020-03-31","10.0.0007","125.6800"
"0101010301","Aplicação Banco Um","2020-04-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2020-04-22","10.0.0007","3875.0000"
"0101010301","Aplicação Banco Um","2019-11-29","10.0.0007","252.8800"
"0101010301","Aplicação Banco Um","2019-10-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2019-09-30","10.0.0007","161.3800"
"0101010301","Aplicação Banco Um","2019-12-30","10.0.0007","122.0500"
"0101010301","Aplicação Banco Um","2020-01-02","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2021-03-05","10.0.0007","19864.2400"
"0101010301","Aplicação Banco Um","2021-03-03","10.0.0007","301.8600"
"0101010301","Aplicação Banco Um","2021-03-12","10.0.0007","259.3800"
"0101010301","Aplicação Banco Um","2021-03-15","10.0.0007","10775.0200"
